Country,Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture
Nicaragua,2016,7.263333333,7.221666667,6.973333333,7.028333333,7.221666667,6.958333333,9.333333333,9.333333333,0.105
"Tanzania, United Republic Of",2016,7.42,7.455,7.375,7.545,7.585,7.455,10,10,0.06
Uganda,2016,8.045,7.835,7.71,7.75,7.75,7.75,10,10,0.11
Colombia,2017,7.705,7.75,7.54,7.455,7.625,7.58,10,10,0.11
Costa Rica,2017,7.58,7.75,7.67,7.75,7.83,7.75,10,10,0.08
Ethiopia,2017,7.83,7.875,7.75,7.96,7.625,7.875,10,10,0.1
Guatemala,2017,7.515769231,7.522692308,7.285,7.542307692,7.483846154,7.475,9.794615385,9.897307692,0.106923077
Honduras,2017,6.774,6.749,6.533,6.692,6.667,6.625,9,9,0.107
India,2017,7.835,7.75,7.875,7.835,7.92,7.875,10,7.96,0.05
Indonesia,2017,7.662,7.676,7.496,7.566,7.592,7.566,10,10,0.1
Kenya,2017,7.5,7.4775,7.3975,7.4575,7.5,7.5425,10,10,0.1075
Mexico,2017,7.645,7.58,7.3125,7.625,7.4375,7.415,9.8325,10,0.1125
Nicaragua,2017,7.415,7.25,7.125,7.205,7.335,7.25,10,10,0.105
Panama,2017,8,8,7.92,8.08,7.83,8,10,10,0.08
Peru,2017,7.92,7.5,7.5,7.58,7.67,7.5,10,10,0.11
Vietnam,2017,7.5,7.335,7.165,7.455,7.5,7.955,9.335,10,0.035
