Country,Region,AltitudeAvg,Year,Owner,Species,Variety,ProcessingMethod,NumberOfBags,BagWeight,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Sweetness,Moisture,TotalScore,Color,QualityCategory
Guatemala,oriente,1402,2012,felipe isaza,Arabica,Bourbon,Washed / Wet,250,2,7.75,7.5,7.67,7.5,7.92,8,10,9.33,0,83.17,Green,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,6,45.3592,7.83,7.83,7.33,7.17,7.75,7.67,10,10,0.1,83.08,Bluish-Green,MODERATE
Mexico,santa catarina juquila,1400,2012,maria luisa del carmen rojas narvaez,Arabica,Other,Washed / Wet,10,1,7.75,7.67,7.42,7.75,7.5,7.5,10,10,0.1,83.08,Unknown,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Natural / Dry,7,45.3592,7.67,7.58,7.5,7.67,7.92,8,9.33,10,0,83.08,Unknown,MODERATE
United States,kona,0,2012,kona pacific farmers cooperative,Arabica,Hawaiian Kona,Washed / Wet,6,45.3592,7.33,7.58,7.58,7.92,7.67,7.58,10,10,0.12,83.08,Green,MODERATE
Colombia,huila,1775,2012,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,275,70,7.5,7.5,7.42,7.58,7.75,7.58,10,10,0.11,83,Green,MODERATE
Mexico,coatepec,750,2012,rosa aurora falcon fernandez,Arabica,Typica,Washed / Wet,15,1,7.67,7.58,7.42,7.5,7.67,7.58,10,10,0.11,83,Green,MODERATE
Mexico,atoyac de alvarez,1200,2012,santiago solis ayerdi,Arabica,Typica,Semi-washed / Semi-pulped,20,1,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10,0.11,83,Green,MODERATE
Mexico,coatepec,1200,2012,alfredo bojalil,Arabica,Bourbon,Washed / Wet,250,1,7.5,7.67,7.5,7.5,7.58,7.58,10,10,0.11,83,Green,MODERATE
Colombia,Unknown,0,2012,exportadora de cafe condor s.a,Arabica,Arusha,Natural / Dry,250,70,7.67,7.58,7.5,7.5,7.75,7.5,10,10,0,83,Unknown,MODERATE
Colombia,huila,1625,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10,0,83,Green,MODERATE
Colombia,huila,1750,2012,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70,7.67,7.58,7.58,7.58,7.67,7.42,10,10,0.11,83,Green,MODERATE
Guatemala,"la reforma, san marcos",1371,2012,juan luis alvarado romero,Arabica,Bourbon,Washed / Wet,275,1,7.5,7.67,7.5,7.67,7.5,7.83,10,10,0.1,83,Green,MODERATE
